Prehistoric animals	Zagorski, Edward J.	QE714.5 .Z34 1982
Structural geology of the Santa Rita Mountains, southeast of Tucson, Arizona	Drewes, Harald	QE86.S45 D73
Dinorific poetry	Sgrignoli, Michael	PS3619.G73 D56 2013
Dinosaurs of Utah and dino destinations	Bagley, Pat	QE861.8.U7 B34 2001
Land before time dinosaur Q & A	Pearce, Q. L.	QE861.5 .P43 1999
Sedona through time : geology of the Red Rocks	Ranney, Wayne	QE86.S48 R36 1993
New look at the dinosaurs	Charig, Alan	QE862.D5 C48
Lịch sử công tác xây dựng Đảng, 1930-2011	Nguyễn, Trọng Phúc	Q898.D293 N437 2012
Dinosaurs, big and small	Teitelbaum, Michael	QE862.D5 T425 1994
Illustrated encyclopedia of dinosaurs : an original and compelling insight into life in the dinosaur kingdom	Norman, David	QE862.D5 N67 1985
Triceratops	Lindsay, William	QE862.O65 L57 1993
Contravento, pedra-a-pedra : conferências do I Seminário Internacional de Estudos Cabo-Verdianos (2008)	Seminário Internacional de Estudos Cabo-Verdianos (1st : 2008 : São Paulo, Brazil)	Q9942.A515 S46 2008
Guide to the Rudolph Zallinger mural The age of reptiles in the Peabody Museum, Yale University	Peabody Museum of Natural History	QE861 .P43 1987
Interrelationships and evolution of Basal Theropod Dinosaurs	Rauhut, Oliver W. M.	QE861.6.P49 R38 2003
Conterminous United States Mineral Assessment Program : background information to accompany folio of geologic, geochemical, geophysical, and mineral resource maps of the Ajo and Lukeville 1⁰ by 2⁰ quadrangles, Arizona		QE86.A9 C66 1992
Reasoning in medicine : an introduction to clinical inference	Albert, Daniel A.	R723 .A38 1988
You can name 100 dinosaurs! : and other prehistoric animals		QE862.D5 Y68 1994
Dinosaur mazes	Roger Moreau	QE861.95 .M67 2000
Dinosaur tracks : the next steps		QE861.6.T72 D45 2016
5-minute Disney Pixar stories		PZ5 .A1218 2012
Tracks in deep time : the St. George dinosaur discovery site at Johnson Farm	Harris, Jerald D.	QE861.6.T72 H37 2015
History of mathematical statistics from 1750 to 1930	Hald, Anders	QA276.15 .H35 1998
Dinosaur encore	Mullins, Patricia	QE862.D5 M85 1993
Bibliographical guide to the law of the United Kingdom, the Channel Islands and the Isle of Man	United Kingdom National Committee of Comparative Law	KD51 .U5 1973
T. rex and the great extinction	Bacchin, Matteo	QE861.6.E95 B3313 2010
Einblicke in die Coss von Adam Ries : eine Auswahl aus dem Original mit aktuellen Anmerkungen und Kommentaren	Riese, Adam	QA154.8 .R542 1994
Dinosaurs : nature stories for children	Lammers, George E.	QE862.D5 L4248 1990
Undeniable : evolution and the science of creation	Nye, Bill	QH45.5 .N94 2014
Dinomaze : colossal fossil maze book	Carpenter, Elizabeth	QE861.95 .C37 2001
Extinction of the dinosaurs	Nardo, Don	QE861.6.E95 N37 2002
Fire in folded rocks	Hanor, Jeffrey S.	QE88.H67 H36 1980
Dinosauri italiani	Dal Sasso, Cristiano	QE861.9.I8 D35 2001
Scales, slime, and salamanders	Miller-Schroeder, Patricia	QL644.2 .M55 2000
Dinosaurs	Maccarone, Grace	QE861.5 .M33 2001
Re-evaluation of the smaller Endothiodontidae	Keyser, A. W.	QE861 .K49 1993
Dictionary of scientific biography		Q141 .D5 1981
5-minute classic stories		PZ5 .A1216 2018
Biggest dinosaurs	Lessem, Don	QE861.5 .L475 2001
Dinosaur	Madgwick, Wendy	QE861.5 .M34 2000
Carnivores	Dixon, Dougal	QE861.5 .D5827 2001
Baby duckbill	Spanjian, Beth	QE862.O65 S62 1988
Akademische Forschung in der anthroposophischen Medizin : Beispiel Hygiogenese : Natur- und geisteswissenschaftliche Zugänge zur Selbstheilungskraft des Menschen		R723 .A377 1999
Guidebook to Paleozoic rocks in the Eastern Ouachita Mountains, Arkansas	Stone, Charles G.	QE88.O92 S76 1994
Looking at-- Dilophosaurus : a dinosaur from the Jurassic period	Brown, Mike	QE862.S3 B77 1994
Understanding the light microscope : a computer-aided introduction	Goldstein, D. J.	QH201 .G65 1999
50 nifty dinosaurs to draw	Baugh, Bryan	NC780.5 .B38 1999
5-minute good night stories		PZ5 .A122 1998
Direito amazônico : delineamentos básicos para uma teoria condizente com a realidade regional amazônica	Rodrigues, Alessandra Mahé Costa	KH96 .R637 2019
Pop-up dinosaurs	Dudley, Dick	QE862.D5 D77 1991
Grand Canyon trail guide : Havasu	Thybony, Scott	QE86.G73 T49 1989
Let's meet allosaurus and other Jurassic dinosaurs	Adam, Winky	QE861.5 .A32 1999
My first dinosaur board book		QE861.5 .M9 2002
Extinction of the dinosaurs	Nardo, Don	QE861.6.E95 N37 2004
Re-visiting Hong Kong paradise : a study of Japanese net surfers	Cheung, Sidney C. H.	Q2044.J3 C43 2000
National Conference on Physical and Environmental Chemistry (PEC-2010) : abstracts	National Conference on Physical and Environmental Chemistry (1st : 2010 : Bāra Gali, Pakistan)	QF476 .N38 2010
Discovering dinosaurs	Benton, M. J.	QE862.D5 B455 1994
Day the dinosaurs died	Brown, Charlotte Lewis	QE861.6.E95 B76 2006
Go, go, Dino!		PZ8.3 .G5583 1999
Dinosaurs	Lonergan, Elaine	QE861.5 .L67 2000
Tyrannosaurus Rex : the fierce dinosaur	Sandell, Elizabeth J.	QE862.S3 S36 1988
Stegosaurus	Sheehan, Angela	QE862.D5 R687 1981
Dinosaur mystery, case no. 1977, solved	Yamin, R. P.	QE861.6.E95 Y36 1996
Fe en el derecho; notas al margen de la abogacía	Beccar Varela, Horacio	KDZ81 .B43 1967
Acta juridica et politica		K1 .C676
Nei Menggu Etuoke Qi xia bai e tong kong long zu ji = Nei Mongol Otog Qi xiabaietong konglong zuji = On the dinosaur tracks from the lower cretaceous of Otog Qi, inner Mongolia	Li, Jianjun	QE861.6.T72 L535 2011
History of statistics : the measurement of uncertainty before 1900	Stigler, Stephen M.	QA276.15 .S75 1986
Problems, research & issues in science, mathematics, & computing : PRISMCS		Q183.4.W5 P76
Dinosaurs' last days	Granowsky, Alvin	QE862.D5 G7323 1992
How the dinosaurs disappeared	Kelly, Harold G.	QE861.6.E95 K45 2006
5-minute Halloween stories		PZ5 .A1224 2018
Renouveau djiboutien		Q3421.A98 R46
Dinosaurs and other first animals	Morris, Dean	QE862.D5 M65
Sidetracked : the struggle for BC's fossils	Lougheed, Vivien	QE861.6.T72 L68 2011
Dinosaurs	Zallinger, Peter	QE862.D5 Z3
Hakubutsukan de taimu toraberu : kimi ni mo dekiru jikan ryokō		Q1050.J3 H35 1990
Statistics in practice	Moore, David S.	QA276.12 .M662 2015
Triceratops	Riehecky, Janet	QE862.D5 R44 1988
Fin des dinosaures : comment les grandes extinctions ont façonné le monde vivant	Buffetaut, Eric	QE861.6.E95 B84 2003
My visit to the dinosaurs	Aliki	QE862.D5 A35 1985
Dinosaurs and other prehistoric animals	Wright, Robin	QE862.D5 W75 1991
Baby Brontosaurus	Spanjian, Beth	QE862.S3 S65 1988
End of the dinosaurs	Matthews, Rupert	QE861.5 .M364 2003
Pennsylvanian cephalopods of Ohio		QE8016 .P46 1997
Largest dinosaurs	Simon, Seymour	QE862.D5 S52 1986
Dinosaur tracks	Gray, Susan Heinrichs	QE861.6.T72 G73 2007
Zambian journal of applied earth sciences : a publication of the Geological Society of Zambia		QE327.R55 Z36
Age of dinosaurs		QE862.D5 A28 1989
Ceratosaurus and other fierce dinosaurs	Dixon, Dougal	QE861.6.B44 D59 2006
Where did the dinosaurs go?	Roberts, Russell	QE861.6.E95 R63 2006
Statistical analysis with missing data	Little, Roderick J. A.	QA276.L57 1987
Han'guk ŭi kongnyong hwasŏk		QE861.6.T72 H36 2009
Geophysical and geological investigation of potentially favorable areas for petroleum exploration in southeastern Arizona	Aitken, Carlos L. V.	QE86.S68 A36 1974
Dictionary of science and technology : German-English	Dorian, A. F.	Q123 .D673 1981
Styracosaurus and other last dinosaurs	Dixon, Dougal	QE861.6.E95 D59 2006
Kongnyong hakcha Yi Yung-nam Paksa ŭi kongnyong taet'amhŏm	Yi, Yung-nam	QE861.4 .Y54 2000
100 year cover-up revealed : we lived with dinosaurs! : how they really became extinct, is evolution also a century-old hoax? : implications for science and education	Gilmer, James Edward	QE861.6.E95 G55 2011
Jurassic Park Institute dinosaur field guide	Holtz, Thomas R.	QE861.3 .H65 2001
Dinosaur relatives	Riehecky, Janet	QE861 .R47 1990
Sur les traces des premiers dinosaures morvandiaux	Gand, Georges	QE862.D5 G26
Declino e caduta dell'impero dei dinosauri	Pinna, Giovanni	QE861.6.E95 P56 2000
Parasaurolophus	Riehecky, Janet	QE862.O65 R536 1990
Dinosaur valley	Kurokawa, Mitsuhiro	QE862.D5 K87 1992
Dinosaurs : facts, things to make, activities	Lambert, David	QE862.D5 L42 1992
Dinosauri in Italia : le orme giurassiche dei Lavini di Marco (Trentino) e gli altri resti fossili italiani	Leonardi, Giuseppe; Mietto, Paolo	QE861.9.I82 T743 2000
Baby Ceolophysis	Dudley, Dick	QE862.S3 S53 1989
Dinosaurs	Gibbons, Gail	QE862.D5 G345 1987
Dinosaures sur le divan : psychanalyse de Jurassic Park	Hachet, Pascal	BF175 .H315 1998
Géologie des nappes Hawasina dans les parties orientale et centrale des montagnes d'Oman	Bechennec, François	QE606.5.O5 B43 1988
Pterosaurs, the flying reptiles	Sattler, Helen Roney	QE862.P7 S28 1985
Dinosaurios		QE862.D5 D514 1990
Flying dinosaurs	Lindblom, Steven	QE862.P7 L56 1990
Day of the dinosaur	Berenstain, Stan	QE862.D5 B484 1987
Smithsonian institution, 1846-1896. The history of its first half century.	Smithsonian Institution.	Q11.S8 A4 1897
Baby dinosaurs : eggs, nests, and recent discoveries	Holmes, Thom	QE861.5 .H637 2003
Land before time : how to draw dinosaurs	Pearce, Q. L.	NC780.5 .P43 1999
Late Pleistocene herpetofaunas from Puerto Rico	Pregill, Gregory K.	QE861 .P74 1981
Note on fossil trackways at Roma, Lesotho	Ambrose, David	QE861.3.T72 A43 1999
5-minute Disney Junior stories		PZ5 .A1217 2015
Hungarian revival : political reflections on Central Europe	Marácz, László Károly	DAW1028.H96 M37 1996
Clinician's handbook of natural healing	Null, Gary	R73 .N847 1998
Dinosaur eggs	Gray, Susan Heinrichs	QE861.6.E35 G73 2007
Contributions to the geology of Arkansas		QE87 .C66 1982
How the dinosaurs became extinct	Fernando, S. N. U.	QE862.D5 F47 1985
Dinosaur hunt : Texas, 115 million years ago	Carr, Karen	QE861.6.T72 C37 2002
3-minute nursery stories		PZ5 .A124 2003
Mathematik für Ingenieure	Ansorge, R.	QA3000 .A567 1994
Zwrotnik dinozaura	Kuczyński, Maciej	QE862.D5 K75
Flying dinosaurs : pterodactyls	Berenstain, Mike	QE862.P7 B47 1991
Ho-Nikon	McLeod, G.	PS3563.C384437 H6 1999
Cranks, quarks, and the cosmos : writings on science	Bernstein, Jeremy	Q173 .B54 1993
Danmarks pattedyr i fortiden i sammenligning med recente former	Degerbøl, Magnus	QE88 .D28 1933
Dinosaurs in your backyard	Mannetti, William	QE862.D5 M353 1982
Dinosaur Mountain : graveyard of the past	Arnold, Caroline	QE862.D5 A75 1989
Gone! : dino extinction	Kranking, Kathy	QE861.6.E95 K73 2006
Dragon bones and dinosaur eggs : a photobiography of Roy Chapman Andrews	Bausum, Ann	QH31.A55 B38 2000
Let's meet the triceratops and other Cretaceous dinosaurs	Adam, Winky	QE861.5 .A33 1998
5-minute Disney-Pixar stories		PZ5 .A121785 2019
Hey Mom, what about dinosaurs?	Husted, Russell	BS651 .H84 1999
Dinosaurs and other Mesozoic reptiles of California	Hilton, Richard P.	QE861.8.C2 H55 2003
Reviews in number theory, 1984-96 : as printed in Mathematical reviews		QA241 .R462 1997
Reconstructions of the small Cretaceous theropod Stenonychosaurus inequalis and a hypothetical dinosauroid	Russell, Dale A.	QE862.D5 R78 1982
God made dinosaurs	Head, Heno	QE861.5 .H43 2001
Reading together : a new reader's first library : taking off		PZ5 .R1984165 1999
Dinosaurs galore	Telles, Cecilia R.	QE862.D5 T45 1993
Dinosaurs : unearthing the secrets of ancient beasts	Nardo, Don	QE862.D5 N373 1995
Maximal orders	Reiner, Irving	QA247 .R43 2003
Dinosaurs: fun with matching pictures		QE861.5 .D564 2000
Feathered dinosaurs	Czerkas, Stephen	QE861.6.F45 C94 2008
Dinosaurs from China : including catalogue to the exhibition in the National Museum of Victoria and the Australian Museum, Sydney		QE862.D5 D52 1982
Mix & match book of dinosaurs	Sanders, George	QE862.D5 S125 1992
Flip-pop counting	Diaz, James	QA1133 .D53 1999
